itemno;title;description;gallay-title;gallay-description
02273;;hochmodisches Y-Collier mit Kunststoff-Viereck grau-transparent und alsilber überzogen und galvanisiert auf 2-fach Stahldraht, in Deutschland gefertigte Handarbeit;Kette, Vierecke, altsilber-grauton;Viereckperlen altsilber und grau transparent, weicher Stahldraht
02274;;tolles Y-Collier mit Kunststoff-Nugget grau-transparent Oberfläche wie Krokohaut, verbunden mit Ankerkette schwarz-matt aus Aluiminium, in Deutschland gefertigte Handarbeit;Kette, Krokoperle grau, Ankerkette;Kette schwarz matt, Kunststoffperlen
02275;;Collier mit Kunststoffteilen in schwarz, weiß-schwarz und kristall-transparent in ausgefallenen Formen, kombiniert mit Aluminium-Ankerkette schwarz-matt;Kette, schwarz-weiß Ankerkette schwarz;Collier mit Kunststoffteilen in schwarz, weiß-schwarz und kristall-transparent in ausgefallenen Formen, kombiniert mit Aluminium-Ankerkette schwarz-matt
02276;;zeitloses Collier mit Kunststoff-Anhänger flaches Rohr 54x19mm lila-lavendel-marmoriert-matt, durch verschiedene Farbdetails jedes Teil ein Unikat! an 6-fach Kordel 1mm lila, Verschluss silber-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Rohr flach-gebogen lila-matt;zeitloses Collier mit Kunststoff-Teil 54x19mm lila-marmoriert-matt, jedes Teil ein Unikat!, 6-fach Kordel 1,0mm lila, Verschluss silber-farbig mit Verlängerungskettchen
02277;;zeitloses Collier mit Kunststoff-Anhänger flaches Rohr 54x19mm pink-lila-marmoriert-matt, durch verschiedene Farbdetails jedes Teil ein Unikat! an 6-fach Kordel 1mm lila, Verschluss silber-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Rohr flach-gebogen pink-lila;zeitloses Collier mit Kunststoff-Anhänger 54x19mm pink-lila-marmoriert, jedes Teil ein Unikat! 6-fach Kordel 0,6mm lila, Verschluss silberfarbig mit Verlängerungskettchen
02278;;dekoraives Collier mit 12mm Kunststoffperlen rot seidig-glänzend und  facettiertes Kunststoff-Rädchen dunkelrot, Verschluss vergoldet, in Deutschland gefertigte Handarbeit;Kette, Perle seide-rot, Facettenradl;dekoraives Collier mit 12mm Kunststoffperlen rot seidig-glänzend und  facettiertes Kunststoff-Rädchen dunkelrot, Verschluss vergoldet
02280;;Dieses zeitloses Collier mit 10mm Kunststoff-Perlen dunkelrot-schwarz-marmoriert ist klassisch schlicht und doch stilvoll. Der Verschluss ist gold-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, 10mm Perlen, rot-schwarz;Collier passend zur aktuellen Herbst- und Wintermode mit 10mm Kunststoff-Perlen dunkelrot-schwarz, Verschluss gold-farbig mit Verlängerungskettchen
02281;;zeitloses Collier mit 10mm Kunststoff-Perle dunkelrot-schwarz-marmoriert, Verschluss gold-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Perlen 10mm rot-schwarz;Collier passend zur aktuellen Herbst- und Wintermode aus 10mm Kunststoff-Perle dunkelrot-schwarz, Verschluss gold-farbig mit Verlängerungskettchen
02282;;zeitloses Collier mit 12mm Kunststoff-Perle, dunkelrot-schwarz-marmoriert,  Verschluss gold-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Perlen 12mm rot-schwarz, 50cm;Collier passend zur aktuellen Herbst- und Wintermode aus 12mm Kunststoff-Perle, dunkelrot-schwarz,  Verschluss gold-farbig mit Verlängerungskettchen
02283;;Collier passend zur aktuellen Herbst- und Wintermode aus 12mm Kunststoff-Perle dunkelrot-schwarz, Verschluss gold-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Perlen 12mm rot-schwarz, 60cm;Collier passend zur aktuellen Herbst- und Wintermode aus 12mm Kunststoff-Perle dunkelrot-schwarz, Verschluss gold-farbig mit Verlängerungskettchen
02284;;chick nicht nur für die jugendliche sondern auch jung gebliebene Trägerin, Collier aus 8mm Kunststoff-Perlen pink, flieder und schwarz-facettiert, Verschluss silber-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Perlen pink-flieder-schwarz;jugendliches Collier aus 8mm Kunststoff-Perlen pink, flieder und schwarz-facettiert, Verschluss silber-farbig mit Verlängerungskettchen
02285;;jugendlicher Modeschmuck, Kunststoffperlen pink und 3mm rosa-wachs kombiniert mit Kunststoff-Würfel kristall-transparent auf 2-fach Stahldraht kunststoffummantelt, Verschluss silberfarbig mit Verlängerungskettchen und Perle als Abschluss, in Deutschland gefertigte Handarbeit;Kette, Perlen pink, Würfel-kristall;-
02286;;dekoratives Collier mit gebogener Kunststoff-Walze weiß-matt, kombiniert mit Kunststoffperle flieder-seidig, auf 2-fach Stahldraht weiß kunststoffummantelt, Verschluss silberfarbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Rohr gebogen weiß-flieder;-
02287;;;Kette, Dreieck lila-transparent, si;-
02292;;sehr dekoratives Collier mit Kunststoff-Perlen in grau-marmoriert und lila seidig-glänzend im Kunststoff-Viereck 32x32mm, verchromt, verbunden mit Aluminium-Ankerkette in grau-matt;Kette, Viereck chrom, Perle grau-lila;sehr dekoratives Collier mit Kunststoff-Perlen in grau-marmoriert und lila seidig-glänzend im Kunststoff-Viereck 32x32mm, verchromt, verbunden mit Aluminium-Ankerkette in grau-matt
02293;;Collier in aktuellem schwarz-weiß, Kunststoff-Viereck 32x32mm mit dekorativer Schraubenperle in weiß-schwarz, verbunden mit Aluminium-Ankerkette in schwarz, in Deutschland gefertigte Handarbeit;Kette, Perlen schwarz-weiß matt;Collier in aktuellem schwarz-weiß, Kunststoff-Viereck 32x32mm mit dekorativer Schraubenperle in weiß-schwarz, verbunden mit Aluminium-Ankerkette in schwarz
02294;;filigranes Collier mit facettiertem Kunststoff-Anhänger 25x18mm lila-transparent, an 2-fach Stahldraht kunststoffummantelt, Verschluss silber-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Viereck facettiert lila;filigranes Collier mit facettiertem Kunststoff-Anhänger 25x18mm lila-transparent, an 2-fach Stahldraht kunststoffummantelt, Verschluss silber-farbig mit Verlängerungskettchen
02295;;filigranes Collier mit zwei facettierten Kunststoff-Teilen topas und oliv-transparent, an Stahldraht kunststoffummantelt, Verschluss silber-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Viereck champagner-oliv;filigranes Collier mit zwei facettierten Kunststoff-Teilen topas und oliv-transparent, an Stahldraht kunststoffummantelt, Verschluss silber-farbig mit Verlängerungskettchen
02296;;;Brisur, Viereck, facettiert, champagner;-
02297;;;Brisur, Viereck, facettiert, oliv;-
02298;;filigranes Collier mit zwei facettierten Kunststoff-Teilen in champagner und topas-transparent, an Stahldraht oliv kunststoffummantelt, Verschluss gold-farbig mit Verlängerungskettchen, in Deutschland gefertigte Handarbeit;Kette, Viereck facettiert topas braun;filigranes Collier mit zwei facettierten Kunststoff-Teilen in champagner und topas-transparent, an Stahldraht oliv kunststoffummantelt, Verschluss gold-farbig mit Verlängerungskettchen
02299;;;Brisur, Viereck, facettiert, topas;Brisur vergoldet
02301;;;Brisur, Viereck, facettiert, rauchtopas;Brisur vergoldet
02302;;wunderschönes Y-Collier mit Kunststoff-Dreieck topas-transparent auf 2-fach Stahldraht kunststoffummantelt, in Deutschland gefertigte Handarbeit;Kette, Dreieck, topas-transparent;-
02303;;;Brisur, Dreieck, topas-transparent;-
02309;;Collier passend zur aktuellen Herbst- uns Wintermode, große Scheibe, 65mm, dunkelbraun mit kleinen beige-farbigen Pünktchen, an 4-fach Kordel braun, Verschluss gold-farbig;Kette, Ring, braunton dunkel, matt;Collier passend zur aktuellen Herbst- uns Wintermode, große Scheibe, 65mm, dunkelbraun mit kleinen beige-farbigen Pünktchen, an 4-fach Kordel braun, Verschluss gold-farbig
02311;;Collier passend zur aktuellen Herbst- und Wintermode, zweiteilige Kunststoff-Scheibe, 53mm, in nougat und dunkelbraun, verbunden mit gravierter Platte in altmessing-farben, an Kordel braun, längenverstellbar mittels Schiebeknoten, in Deutschland gefertigte Handarbeit;Kette, Anhänger braunton-matt, go matt;Collier passend zur aktuellen Herbst- und Wintermode, zweiteilige Kunststoff-Scheibe, 53mm, in nougat und dunkelbraun, verbunden mit gravierter Platte in altmessing-farben, an Kordel braun, längenverstellbar mittels Schiebeknoten
02312;;Collier passend zur aktuellen Herbst- und Wintermode, große Scheibe, 65mm, mittelbraun, an 4-fach Kordel braun, Verschluss gold-farbig;Kette, karamel matt, 4x Kordel braun;Collier passend zur aktuellen Herbst- und Wintermode, große Scheibe, 65mm, mittelbraun, an 4-fach Kordel braun, Verschluss gold-farbig
02315;;hochmodisches Collier mit Kunststoff-Teilen, ausgefallenes Teil Blatt an einem Rohr kombiniert mit kleinen Olivern und facettierten Teilen in lila-flitter und lila-transparent, auf 2-fach Stahldraht kunststoffummantelt, Verschluss silberfarbig mit Verlängerungskettchen und Perle als Abschluss, in Deutschland gefertigte Handarbeit;Kette, Blatt am Rohr, lila-flitter;-
02316;;hochmodisches Collier mit Kunststoff-Teilen, ausgefallenes Teil Blatt an einem Rohr kombiniert mit kleinen Olivern und facettierten Teilen in altrosa-flitter, altrosa-seidig und transparent, auf 2-fach Stahldraht kunststoffummantelt, Verschluss silberfarbig mit Verlängerungskettchen und Perle als Abschluss, in Deutschland gefertigte Handarbeit;Kette, Blatt am Rohr, altrosa-flitter;-
